日付,平均気圧(hPa),降水量(mm),平均気温(℃),最高気温(℃),最低気温(℃),平均風速(m/s),最多風向,日照時間(h),最深積雪(cm),天気概況昼,天気概況夜
2001/1/1,987.4,1.5,1.1,5.6,-3.3,4.8,×,1.2,6,曇一時雪後晴、霧を伴う,晴
2001/1/2,988.7,--,-2.1,0.3,-5.8,7.7,×,7.6,4,晴,快晴
2001/1/3,986.0,--,-4.2,0.1,-11.1,7.0,×,5.2,4,晴後曇,曇
2001/1/4,993.6,0.0,-1.9,2.0,-4.9,5.0,×,1.6,4,曇一時雪,晴一時雪
2001/1/5,1004.9,--,-3.7,0.2,-6.6,6.6,×,7.5,4,晴,晴
2001/1/6,1014.9,0.0,-5.1,-1.6,-8.3,5.6,×,7.4,4,晴後時々曇,晴
2001/1/7,1022.5,--,-8.5,-5.2,-12.9,5.1,×,7.2,4,晴,晴後薄曇
2001/1/8,1020.4,--,-10.7,-6.7,-14.8,5.8,×,8.3,4,薄曇後晴,快晴
2001/1/9,1020.4,0.0,-7.8,-1.2,-15.4,4.8,×,6.4,4,晴後曇,曇後雪
2001/1/10,996.9,18.5,0.4,4.9,-6.3,9.1,×,3.3,9,雨一時雪後晴、霧を伴う,快晴
2001/1/11,994.9,0.5,-3.4,1.6,-8.0,8.5,×,3.4,6,晴後曇時々雪,晴
2001/1/12,992.4,--,-8.7,-5.6,-10.3,12.6,×,8.1,6,晴,快晴
2001/1/13,998.4,--,-8.3,-4.0,-14.7,5.3,×,8.8,6,晴,晴一時曇
2001/1/14,1000.0,--,-10.3,-4.8,-13.9,5.0,×,7.2,6,晴,晴
2001/1/15,1004.5,0.0,-11.5,-6.2,-15.5,3.7,×,9.1,6,晴,晴後曇時々雪
2001/1/16,1006.3,0.0,-10.5,-4.5,-14.7,4.0,×,8.6,6,晴,快晴
2001/1/17,1009.9,--,-11.8,-4.4,-19.8,3.6,×,9.0,6,晴,快晴
2001/1/18,1011.6,--,-11.5,-4.6,-18.6,3.3,×,7.5,6,晴後時々曇,晴
2001/1/19,1017.4,--,-7.2,-2.1,-13.8,4.8,×,5.3,6,晴一時曇,晴後曇
2001/1/20,1013.3,--,-5.9,-0.5,-13.6,3.6,×,8.1,6,薄曇後晴,晴
